date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:17:22	1798/1798	---M--	200	added ('OK')	text/html	date:Sun,%2027%20Mar%202022%2013:17:22%20GMT	https://famee.miami/	C:/My%20Web%20Sites/new%20fame/famee.miami/index.html	(from )
09:17:23	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2013:17:22%20GMT	https://famee.miami/robots.txt		(from )
09:17:24	3646/3646	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Sun,%2027%20Mar%202022%2013:17:24%20GMT	https://famee.miami/favicon.ico	C:/My%20Web%20Sites/new%20fame/famee.miami/favicon.ico	(from https://famee.miami/)
09:17:32	418/418	---M--	200	added ('OK')	text/css	date:Sun,%2027%20Mar%202022%2013:17:32%20GMT	https://famee.miami/m.css	C:/My%20Web%20Sites/new%20fame/famee.miami/m.css	(from https://famee.miami/)
09:17:40	22261/22261	---M--	200	added ('OK')	image/gif	date:Sun,%2027%20Mar%202022%2013:17:39%20GMT	https://famee.miami/sparkle.gif	C:/My%20Web%20Sites/new%20fame/famee.miami/sparkle.gif	(from https://famee.miami/)
09:17:44	12609/12609	---M--	200	added ('OK')	text/javascript	date:Sun,%2027%20Mar%202022%2013:17:43%20GMT	https://famee.miami/core.js	C:/My%20Web%20Sites/new%20fame/famee.miami/core.js	(from https://famee.miami/)
09:17:45	21682507/21682507	---M--	200	added ('OK')	video/mp4	date:Sun,%2027%20Mar%202022%2013:17:39%20GMT	https://famee.miami/r.mp4	C:/My%20Web%20Sites/new%20fame/famee.miami/r.mp4	(from https://famee.miami/)
09:17:51	10714/10714	---M--	200	added ('OK')	text/javascript	date:Sun,%2027%20Mar%202022%2013:17:51%20GMT	https://famee.miami/font.js	C:/My%20Web%20Sites/new%20fame/famee.miami/font.js	(from https://famee.miami/)
09:17:57	493/493	---M--	200	added ('OK')	text/javascript	date:Sun,%2027%20Mar%202022%2013:17:57%20GMT	https://famee.miami/main.js	C:/My%20Web%20Sites/new%20fame/famee.miami/main.js	(from https://famee.miami/)
09:18:00	357246/357246	---M--	200	added ('OK')	text/css	date:Sun,%2027%20Mar%202022%2013:17:59%20GMT	https://famee.miami/a.css	C:/My%20Web%20Sites/new%20fame/famee.miami/a.css	(from https://famee.miami/)
09:18:07	870455/870455	---M--	200	added ('OK')	image/gif	date:Sun,%2027%20Mar%202022%2013:18:06%20GMT	https://famee.miami/tenor.gif	C:/My%20Web%20Sites/new%20fame/famee.miami/tenor.gif	(from https://famee.miami/)
09:18:13	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2013:18:12%20GMT	https://famee.miami/img/calendar/january.jpg	C:/My%20Web%20Sites/new%20fame/famee.miami/img/calendar/january.9.delayed	(from https://famee.miami/a.css)
09:18:18	4311/4311	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2013:18:18%20GMT	https://famee.miami/img/calendar/march.jpg	C:/My%20Web%20Sites/new%20fame/famee.miami/img/calendar/march.b.delayed	(from https://famee.miami/a.css)
09:18:40	4311/4311	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2013:18:39%20GMT	https://famee.miami/img/calendar/june.jpg	C:/My%20Web%20Sites/new%20fame/famee.miami/img/calendar/june.e.delayed	(from https://famee.miami/a.css)
09:18:41	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2013:18:40%20GMT	https://famee.miami/img/calendar/july.jpg	C:/My%20Web%20Sites/new%20fame/famee.miami/img/calendar/july.f.delayed	(from https://famee.miami/a.css)
09:18:44	4311/4311	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2013:18:43%20GMT	https://famee.miami/img/calendar/august.jpg	C:/My%20Web%20Sites/new%20fame/famee.miami/img/calendar/august.10.delayed	(from https://famee.miami/a.css)
